time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.13936124446e-08,-6.99055760056e-08,10.0007559329,6.28304611905,6.28295530568,0.0,1.19124596313e-05,-8.24143021403e-06,0.0251972554463,-0.0074183273767,-0.012883756188,0.0,412.29381536385716,411.15421871479487,413.5720283843042,412.91828535733544
0.12000000000000001,8.47704755185e-06,-5.09630680004e-06,10.0051812689,6.28263461465,6.28217616992,0.0,0.000346778234862,-0.00020279004097,0.122307716919,-0.00576141093171,-0.0131900522861,0.0,436.2342459581419,436.208788067147,435.6793889749483,435.81798203071406
0.18,5.5685585898e-05,-3.10790506447e-05,10.0179699262,6.28260820918,6.28164583897,0.0,0.00130087057183,-0.000682576540288,0.303949273402,0.00850673979149,-0.00131206527295,0.0,461.4097875274922,462.34651333307374,461.77679163993724,462.90076921623563
0.23999999999999996,0.000166449874987,-8.21073857016e-05,10.0395411324,6.28318483643,6.28131185126,0.0,0.00241078611779,-0.000961923725238,0.415056467548,0.0117312507965,-0.0158326803027,0.0,441.2501291190307,440.05005155792,440.26662202380396,440.53316541323716
0.3,0.000358334733145,-0.000136879727333,10.0697905353,0.000645963573353,6.28019983457,0.0,0.00410159237445,-0.000787066565931,0.593180660294,0.00878697646383,-0.0245714325404,0.0,460.2958570212197,459.6039406390457,462.6231024389248,462.39112140297465
0.36000000000000004,0.000680819605364,-0.000166714240315,10.1112490734,0.000938504846363,6.27895696391,0.0,0.0068042246173,-0.0001582146958,0.788655290304,-0.00439554267829,-0.0139427304629,0.0,465.85674077632103,466.6869898714871,467.4483720524846,466.42005117971
0.4200000000000001,0.00119527817428,-0.000154617257011,10.1652969433,0.000484069803149,6.27860041371,0.0,0.0104112434873,0.000519166910803,1.01276850068,-0.0148398903003,0.00655656594539,0.0,474.14011834364476,475.712281111666,476.0904654762852,475.29089320015254
0.48000000000000015,0.00192032585579,-0.000116413077698,10.2306484403,6.28243646284,6.27898098306,0.0,0.0137138619282,0.000641611024285,1.16547148303,-0.0355328804089,0.00591185578586,0.0,454.02862323467656,453.97679641003845,455.5383369191262,453.8807882971452
0.5400000000000001,0.00284275864031,-0.000103821408493,10.3071855311,6.28133952125,6.27876233473,0.0,0.0170023549101,-0.000399777449473,1.38552435059,0.00351187154057,-0.0414451533181,0.0,476.96055043430505,473.3303420728934,472.9706322408261,475.9677969616019
0.6000000000000002,0.00398581977656,-0.000173058492243,10.3979937355,6.28192701571,6.27679577032,0.0,0.0213714040284,-0.00185478973812,1.64108347344,0.020067191362,-0.0194664524408,0.0,485.0984245576582,486.7454706796667,484.65675126073006,485.89922246799733
0.6600000000000003,0.0054033267411,-0.000305499653943,10.4993425982,7.31271772878e-05,6.2760344963,0.0,0.0259730505492,-0.00243091431113,1.73707028136,0.0261298280791,-0.0017474914772,0.0,436.6796030449507,438.15515653210906,438.89091684525454,439.39380081093395
0.7200000000000003,0.00713582346217,-0.000442294592242,10.6101775783,0.00185119235869,6.27573075811,0.0,0.0317975688813,-0.00192779274349,1.95707870814,0.0358544633369,-0.0126901326432,0.0,478.01387494752873,477.17942091214263,474.6433334024919,475.3892183725466
0.7800000000000004,0.00919441174934,-0.000513206397027,10.7297830326,0.00354324685408,6.27487261853,0.0,0.0369001547407,-0.000240224501148,2.02964244923,0.00492436662288,-0.0177390145454,0.0,432.1199295893919,431.6942339521113,433.1585298851262,430.5499467470293
0.8400000000000004,0.01157297205,-0.000457435609329,10.8532779553,0.00328848757533,6.27411262074,0.0,0.0424700482401,0.00211537801555,2.08675142106,-0.0377934358006,-0.00407743455862,0.0,426.513610915414,427.67883637949967,429.0308809704774,425.38863343882616
0.9000000000000005,0.0142921645281,-0.000276604761334,10.9795730964,0.00117060579887,6.27356497586,0.0,0.0482032718851,0.00370954869495,2.12301993315,-0.0307246810169,-0.0218636070747,0.0,421.72676828092943,420.1878309873383,419.81613012454767,420.42836943613435
0.9600000000000005,0.0174041490042,-3.55530698885e-05,11.1115978352,6.28248754943,6.2724006219,0.0,0.0556624008435,0.00412104077149,2.27750849203,-0.0319818323121,-0.0148954777084,0.0,457.3768048440066,457.93144877417456,458.68973796765033,458.5895930123953
1.0200000000000005,0.0210174994267,0.000185354004067,11.2555736505,6.28022732674,6.27141744962,0.0,0.0648924469779,0.00298993450903,2.521179171,-0.0525796617383,-0.0195478837054,0.0,484.4976571144163,484.14786823500873,486.63247073755235,485.08760830277765
1.0800000000000005,0.0251644167682,0.000290748841831,11.4103758697,6.27781941724,6.27069151362,0.0,0.0734309519875,0.000241093856385,2.63862869274,-0.0226878610049,-0.000291429133932,0.0,447.55323812823224,449.1178598966286,447.40234802578834,449.82840871188154
1.1400000000000006,0.0298080739998,0.000198323960904,11.5700809735,6.2765927177,6.27084975768,0.0,0.0813490038549,-0.0034426616133,2.6847666379,-0.0162997205044,0.00793190734137,0.0,425.51985504145847,426.22318601635607,426.5219394933868,427.0671561979411
1.2000000000000006,0.0349285005655,-0.000141090458959,11.7331153139,6.27555489182,6.2718099251,0.0,0.0892568831241,-0.00796757372198,2.74955775891,-0.0193702943052,0.0285882751876,0.0,430.7291523067829,432.4724615568961,433.77123375014594,433.513368418399
1.2600000000000007,0.0405487019798,-0.000806650334983,11.9043837495,6.2747259767,6.27347406383,0.0,0.097877474835,-0.0143291646041,2.95887390702,-0.00453862692347,0.025973678994,0.0,478.22146649100523,478.02240627695426,475.7689665297156,476.9032762501357
